"blmval","total_boundary_length","total_cost","score","rank"
"0",51583.7559201218,60241,0.0915542664215254,8
"1e-04",44632.7838400701,60273,0.340309478140238,7
"1e-03",42315.5553600612,60488,0.446173644481471,6
"1e-02",41455.7521600545,61115,0.484274737447463,5
"1e-01",38404.7151999379,60932,0.628294166687134,4
"1",31569.014080029,62761,0.91294821836366,2
"10",30557.6736000569,63112,0.919349713349639,1
"100",30867.5128000578,63539,0.906309207648751,3
