"blmval","total_boundary_length","total_cost","score","rank"
"0",91070476,60241,0.0549219828681988,8
"1e-05",61704676,60258,0.565336395592566,7
"1e-04",54572208,61537,0.700813073849144,6
"1e-03",39640752,63590,0.946213400728265,2
"1e-02",39210864,63791,0.944758427312482,5
"1e-01",39066082,63753,0.945567073777723,3
"1",39008162,63636,0.947349924387298,1
"10",39075004,63757,0.945496442130825,4
