"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"9","Model_log_richness_tc_2_lr_0.001_bf_0.5",2,0.001,1350,0.715,0.847,0.113,0.378,0.042,0.5
"4","Model_log_richness_tc_1_lr_0.001_bf_0.5",1,0.001,2500,0.734,0.848,0.115,0.376,0.038,0.5
"14","Model_log_richness_tc_3_lr_0.001_bf_0.5",3,0.001,1275,0.681,0.852,0.113,0.367,0.049,0.5
"19","Model_log_richness_tc_4_lr_0.001_bf_0.5",4,0.001,950,0.696,0.855,0.113,0.363,0.051,0.5
"24","Model_log_richness_tc_5_lr_0.001_bf_0.5",5,0.001,950,0.685,0.855,0.113,0.363,0.052,0.5
"10","Model_log_richness_tc_2_lr_0.001_bf_0.75",2,0.001,1100,0.734,0.856,0.115,0.367,0.043,0.75
"15","Model_log_richness_tc_3_lr_0.001_bf_0.75",3,0.001,925,0.713,0.86,0.115,0.36,0.051,0.75
"5","Model_log_richness_tc_1_lr_0.001_bf_0.75",1,0.001,1975,0.761,0.863,0.116,0.348,0.042,0.75
"20","Model_log_richness_tc_4_lr_0.001_bf_0.75",4,0.001,825,0.7,0.864,0.114,0.349,0.057,0.75
