"blmval","total_boundary_length","total_cost","score","rank"
"0",40164854,28668,0.264373352906382,8
"1e-05",38303826,28694,0.303516188118203,7
"1e-04",34585802,28853,0.456739740528155,6
"1e-03",27062882,31994,0.789857531545745,1
"1e-02",25646392,33742,0.746719489827398,2
"1e-01",25695620,34032,0.735355786368885,4
"1",25658866,33999,0.737055849017342,3
"10",25684130,34043,0.735115071496123,5
