"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"9","Model_richness_tc_2_lr_0.001_bf_0.5",2,0.001,1750,7.548,9.558,1.365,0.42,0.073,0.5
"14","Model_richness_tc_3_lr_0.001_bf_0.5",3,0.001,1400,7.463,9.647,1.4,0.423,0.075,0.5
"4","Model_richness_tc_1_lr_0.001_bf_0.5",1,0.001,2450,8.109,9.658,1.303,0.406,0.066,0.5
"19","Model_richness_tc_4_lr_0.001_bf_0.5",4,0.001,1275,7.418,9.744,1.418,0.417,0.076,0.5
"24","Model_richness_tc_5_lr_0.001_bf_0.5",5,0.001,1275,7.336,9.759,1.426,0.417,0.076,0.5
"15","Model_richness_tc_3_lr_0.001_bf_0.75",3,0.001,1075,7.783,9.782,1.327,0.386,0.075,0.75
"20","Model_richness_tc_4_lr_0.001_bf_0.75",4,0.001,1050,7.467,9.803,1.364,0.389,0.077,0.75
"5","Model_richness_tc_1_lr_0.001_bf_0.75",1,0.001,2375,8.243,9.843,1.267,0.378,0.069,0.75
"10","Model_richness_tc_2_lr_0.001_bf_0.75",2,0.001,1475,7.856,9.884,1.35,0.371,0.074,0.75
