"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"14","Model_richness_tot_tc_3_lr_0.001_bf_0.75",3,0.001,1075,8.155,10.477,1.579,0.207,0.097,0.75
"9","Model_richness_tot_tc_2_lr_0.001_bf_0.5",2,0.001,1675,8.484,10.627,1.6,0.214,0.111,0.5
"10","Model_richness_tot_tc_2_lr_0.001_bf_0.75",2,0.001,1400,8.543,10.701,1.547,0.194,0.111,0.75
"3","Model_richness_tot_tc_1_lr_0.005_bf_0.5",1,0.005,1050,8.073,10.733,1.587,0.196,0.124,0.5
"5","Model_richness_tot_tc_1_lr_0.001_bf_0.5",1,0.001,1900,9.536,10.842,1.488,0.194,0.124,0.5
